text,philosopher,work,original_idx
"All of us, for instance, at almost any moment of our waking life, whether we are in the dark or not, have only to feel certain parts of our own bodies or of our clothes, in order to make, with great certainty, such judgments as This is a finger, This is a nose, This is cloth.",Moore,Philosophical Studies,137176
"We are merely reminding ourselves that human decisions affecting the future, whether personal or political or economic, cannot depend on strict mathematical expectation, since the basis for making such calculations does not exist; and that it is our innate urge to activity which makes the wheels go round, our rational selves choosing between the alternatives as best we are able, calculating where we can, but often falling back for our motive on whim or sentiment or chance.",Keynes,"A General Theory Of Employment, Interest, And Money",323097
"And although in the apprehension of a given object of the senses it is tied down to a determinate form of this object and, to that extent, does not enjoy free play (as it does in poetry), still it is easy to conceive that the object may supply ready made to the imagination just such a form of the arrangement of the manifold, as the imagination,",Kant,Critique Of Judgement,250192
"I believe it may safely be established for a general maxim, that no object is presented to the senses, nor image formed in the fancy, but what is accompanyed with some emotion or movement of spirits proportioned to it; and however custom may make us insensible of this sensation and cause us to confound it with the object or idea, it will be easy, by careful and exact experiments, to separate and distinguish them.",Hume,A Treatise Of Human Nature,99781
"Now as Dr. Smith does not contend that the tanner, the salt maker, the soap maker, and the candle maker, will either of them be benefited by the tax on leather, salt, soap, and candles; and as it is certain, that government will receive no more than the tax imposed, it is impossible to conceive, that more can be paid by the public upon whomsoever the tax may fall.",Ricardo,On The Principles Of Political Economy And Taxation,320317
"and as this corn will exchange not only for more money but for more of every other commodity, the possessors will have a greater amount of value; and as no one else will in consequence have a less, the society altogether will be possessed of greater value, and in that sense rent is a creation of value.",Ricardo,On The Principles Of Political Economy And Taxation,321459
"Too much impetuousness frightens the virgin, too much respect humiliates her; women forever hate the man who has taken his pleasure at the expense of their suffering; but they feel an eternal resentment against the one who seems to disdain them, and often against the one who has not attempted to deflower them the first night or who was unable to do it.",Beauvoir,The Second Sex,351415
"First, therefore, it was thought that colour, figure, motion, and the rest of the sensible qualities or accidents, did really exist without the mind; and for this reason it seemed needful to suppose some unthinking substratum or substance wherein they did exist, since they could not be conceived to exist by themselves.",Berkeley,A Treatise Concerning The Principles Of Human Knowledge,106237
"Its laws define the visible forms assumed by disease in a sick organism: the way in which disease is distributed in the organism, manifests its presence there, progresses by altering solids, movements, or functions, causes lesions that become visible under autopsy, triggers off, at one point or another, the interplay of symptoms, causes reactions, and thus moves towards a fatal, and for it favourable, outcome.",Foucault,The Birth Of The Clinic,184840
"Well, sir, if some god were to give us his word that if we do make a second attempt to look at the problem of legislation, we shall hear an account of at least the quality and length of the one we have just had, I for one would willingly extend our journey, and the present day would seem not a moment too long though it is in fact more or less the day when the Sun god turns past summer towards winter.",Plato,Plato - Complete Works,30853
"Luxury has introduced a refinement in eating that destroys the constitution; and, a degree of gluttony which is so beastly, that a perception of seemliness of behaviour must be worn out before one being could eat immoderately in the presence of another, and afterwards complain of the oppression that his intemperance naturally produced.",Wollstonecraft,Vindication Of The Rights Of Woman,342851
"In that case, the relative value of these commodities would be regulated by the same principle, as if one were the produce of Yorkshire, and the other of London; and in every other case, if capital freely flowed towards those countries where it could be most profitably employed, there could be no difference in the rate of profit, and no other difference in the real or labour price of commodities, than the additional quantity of labour required to convey them to the various markets where they were to be sold.",Ricardo,On The Principles Of Political Economy And Taxation,319460
"And we ought to magnify his goodness, that he hath spread before all the world such legible characters of his works and providence, and given all mankind so sufficient a light of reason, that they to whom this written word never came, could not (whenever they set themselves to search) either doubt of the being of a God, or of the obedience due to him.",Locke,Essay Concerning Human Understanding,93161
"God hath made it their business to employ this care on their offspring, and hath placed in them suitable inclinations of tenderness and concern to temper this power, to apply it, as his wisdom designed it, to the children's good, as long as they should need to be under it.",Locke,Second Treatise On Government,87077
"Yet its position is more or less completely central: its upper edge is exactly on an imaginary line running half way between the top and the bottom of the painting, it hangs right in the middle of the far wall (or at least in the middle of the portion we can see); it ought, therefore, to be governed by the same lines of perspective as the picture itself; we might well expect the same studio, the same painter, the same canvas to be arranged within it according to an identical space; it could be the perfect duplication.",Foucault,The Order Of Things,195466
"Is it because that which is heard alone has movement, not, however, the movement in us to which the sound gives rise (for such movement exists also in the other things which affect our senses, for colour also moves our sight), but we perceive the movement which follows such and such a sound?",Aristotle,Aristotle - Complete Works,68279
"(for we are often in the condition of feeling grief without being able to ascribe any cause for it, while at other times we feel cheerful without knowing why), such feelings and those usually called superfici feelings occur to a slight degree in every one, for something of the force which produces them is mingled in everyone; but those who are thoroughly penetrated by them acquire them as a permanent part of their nature.",Aristotle,Aristotle - Complete Works,69661
"The Wunderblock, in each of its parts, will realize the apparatus of which Freud said, in the Project: We cannot off hand imagine an apparatus capable of such complicated functioning I, and which he replaced at that time with a neurological fable whose framework and intention, in certain respects, he will never abandon.",Derrida,Writing And Difference,203957
"Here we have the source of the confusion in many people's reason: many of them are so taken with what remains to us of antiquity, with what comes from far off, or with what is rare and out of the ordinary that their mind is like a slave to these things, for the mind dares not judge or place itself above what it reveres.",Malebranche,The Search After Truth,123281
"What brings the quarrel in the state of nature to an end is a victory, of which both sides boast, although for the most part there follows only an uncertain peace, arranged by an authority in the middle; but in the state of law it is the verdict, which, since it goes to the origin of the controversies themselves, must secure a perpetual peace.",Kant,Critique Of Pure Reason,260333
"If there were no ones, there would be nothing to attract; the representation of continuing attraction, of the consumption of the ones, presupposes an equally continuing generation of the ones; the sense representation of spatial attraction gives continuity to the flow of ones to be attracted; to replace the atoms that vanish at the point of attraction, another multitude comes forth from the void, infinitely if one so wishes.",Hegel,Science Of Logic,268331
"The entity which is experienced may be of many different kinds; it may, for instance, be a patch of colour, or a sound, or a smell, or a taste, etc; or it may be an image of a patch of colour, an image of a sound, an image of a smell, an image of a taste, etc.",Moore,Philosophical Studies,136648
Here we find the principle which lies behind a confusion disastrous for the entire philosophy of difference: assigning a distinctive concept of difference is confused with the inscription of difference within concepts in general the determination of the concept of difference is confused with the inscription of difference in the identity of an undetermined concept,Deleuze,Difference And Repetition,206588
"This salt is a simple Here, and at the same time manifold; it is white and also tart, also cubical in shape, of a specific gravity, etc, All these many properties are in a single simple 'Here', in which, therefore, they interpenetrate; none has a different Here from the others, but each is everywhere in the same Here in which the others are.",Hegel,The Phenomenology Of Spirit,278018
"Wolmar, in La Nouvelle Heloise, made a system of it: the impossibility of repetition, and change as a general condition to which all particular creatures are subject by the law of Nature, were understood in relation to fixed terms (themselves, no doubt, variables in relation to other permanences and in function of other, more general laws).",Deleuze,Difference And Repetition,205984
"Both worlds, however, when grasped by Spirit which, after this loss of itself, withdraws into itself when grasped by the Notion, are confounded and revolutionized by the insight of the individual and the diffusion ofthat insight, known as the Enlightenment; and the realm which was divided and expanded into this world and the heyond, returns into self consciousness which now, in theform ofmorality, grasps itself as the essentiality and essence as the actual self; it no longer places its world and its ground outside ofitself, but letseverythingfadeinto itself, and, as conscience, is Spirit that is certain of it.",Hegel,The Phenomenology Of Spirit,280782
"As the value of all foreign goods is measured by the quantity of the produce of our land and labour, which is given in exchange for them, we should have no greater value, if by the discovery of new markets, we obtained double the quantity of foreign goods in exchange for a given quantity of ours.",Ricardo,On The Principles Of Political Economy And Taxation,319371
"in which the I always serves as subject of consciousness; hence in the conclusion it cannot follow that I cannot exist otherwise than as subject, but rather only that in thinking my existence I can use myself only as the subject of judgment, which is an identical proposition, that discloses absolutely nothing about the manner of my existence.",Kant,Critique Of Pure Reason,257938
"Conversely, through our vari ables of quantification we are quite capable of committing ourselves to entities which cannot be named individually at all the resources of our language; witness the real numbers, which, according to classical theory, constitute a larger infinity than does the totality of constructible names in any language.",Quine,Quintessence,162976
"A miser receives delight from his money; that is, from the power it affords him of procuring all the pleasures and conveniences of life, though he knows he has enjoyed his riches for forty years without ever employing them; and consequently cannot conclude by any species of reasoning, that the real existence of these pleasures is nearer, than if he were entirely deprived of all his possessions.",Hume,A Treatise Of Human Nature,99135
"And since in any bulk of matter our thoughts can never arrive at the utmost divisibility, therefore there is an apparent infinity to us also in that, which has the infinity also of number; but with this difference, that, in the former considerations of the infinity of space and duration, we only use addition of numbers; whereas this is like the division of an unit into its fractions, wherein the mind also can proceed in infinitum, as well as in the former additions",Locke,Essay Concerning Human Understanding,90043
"Modern thought, then, will contest even its own metaphysical impulses, and show that reﬂections upon life, labour, and language, in so far as they have value as analytics of finitude, express the end of metaphysics: the philosophy of life denounces metaphysics as a veil of illusion, that of labour denounces it as an alienated form of thought and an ideology, that of language as a cultural episode.",Foucault,The Order Of Things,199343
"Fourthly, He that applies the words of any language to ideas different from those to which the common use of that country applies them, however his own understanding may be filled with truth and light, will not by such words be able to convey much of it to others, without defining his terms.",Locke,Essay Concerning Human Understanding,93345
If one conceives of philosophy as a manifestation of life and not as the expectoration of a groundless thinking (and such thinking appears groundless because the view is turned away from the ground of consciousness the task is as complicated and arduous in its gain as it is meagre in its results.,Heidegger,Being And Time,239614
"The remainder are causes as the end and the good of the other things; for that, for the sake of which other things are, is naturally the best and the end of the other things; let us take it as making no difference whether we call it good or apparent good.",Aristotle,Aristotle - Complete Works,71616
"It is this fixed relation to an intrinsic kind of value, so far as I can see, which gives to right and wrong that kind and degree of fixity and impartiality which they actually are felt to possess, and which is what people are thinking of when they talk of their objectivity.",Moore,Philosophical Studies,137506
"As, in dialectic, for instance, it may be argued that what is not is, on the ground that what is not is what is not; or that the unknown can be known, on the ground that it can be known to be unknown: so also in rhetoric a spurious enthymeme may be based on the confusion of some particular probability with absolute probability.",Aristotle,Aristotle - Complete Works,84559
"While the critical study of Freudian ideology has been done, and done well, on the other hand the history of the movement has never even been sketched out: the structure of the psychoanalytic group, its politics, its tendencies and its focal points, its self applications, its suicides and its follies, the enormous group superego everything that took place on the body of the master.",Deleuze,Anti-Oedipus,214163
"for seventeenth and eighteenth century thought, it was his finitude that forced man to live an animal existence, to work by the sweat of his brow, to think with opaque words; it was this same finitude that prevented him from attaining any absolute knowledge of the mechanisms of his body, the means of satisfying his needs, the method of thinking without the perilous aid of a language woven wholly of habits and imagination.",Foucault,The Order Of Things,199331
"When more abundant mines are discovered, a greater quantity of the precious metals is brought to market; and the quantity of the necessaries and conveniencies of life for which they must be exchanged being the same as before, equal quantities of the metals must be exchanged for smaller quantities of commodities.",Smith,The Wealth Of Nations,309295
"But such a life would be too high for man; for it is not in so far as he is man that he will live so, but in so far as something divine is present in him; and by so much as this is superior to our composite nature is its activity superior to that which is the exercise of the other kind of excellence.",Aristotle,Aristotle - Complete Works,76671
"Then secondly; fix thy mind upon the thing itself; look into it, and remembering thyself, that thou art bound nevertheless to be a good man, and what it is that thy nature requireth of thee as thou art a man, be not diverted from what thou art about, and speak that which seemeth unto thee most",Marcus Aurelius,Meditations,326538
"But the just in these cases would seem to be homonymous with political justice (for the justice about which we are inquiring is political justice); for this above all consists in equality (for citizens are a sort of partners, and tend to be on a par by nature, though they differ in character), but a son against his father or a servant against his master would not seem to have any justice at all, any more than my foot or my hand has any justice against me, and in the same way with each of the members.",Aristotle,Aristotle - Complete Works,77394
"a priori is also valid, albeit only indirectly, for the object of experience, the prin ciples of pure reason will also have objective reality in regard to this object, yet not so as to detennine something in it, but only to indicate the procedure in accordance with which the empirical and determinate use of the understanding in experience can be brought into thoroughgoing agreement with itself, by bringing it as far as possible into connection with the principle of thoroughJoing unity; and from that it is derived.",Kant,Critique Of Pure Reason,259760
"What a dullard a man must be who could not be taught in a quarter of an hour the theory that there are ,asthenic, sthenic, and indirectly asthenic diseases, and as many modes of treatment; and, since till quite recently such instruction sufficed, who could not hope.o be transformed in this short space of time from an empirical into a theoretical physician?",Hegel,The Phenomenology Of Spirit,277456
Hence Zeno's reasoning is false when he argues that there is no part of the millet that does not make a sound; for there is no reason why any such part should not in any length of time fail to move the air that the whole bushel moves in falling.,Aristotle,Aristotle - Complete Works,47072
"As the ideas of things in God include all their properties, whoever sees their ideas can also see all their properties successively; for when we see things as they are in God, we always see them in perfect fashion, and the way we see them would be infinitely perfect if the mind seeing them were infinite.",Malebranche,The Search After Truth,120880
"Now this completeness of a science cannot reliably be assumed from a rough calculation of an aggregate put together by mere estimates; hence it is possible only by means of an idea of the whole of the a priori cognition of the understanding, and throughC the division of concepts that such an idea determines and that constitutes it, thus only through their connection in a system.",Kant,Critique Of Pure Reason,254768
"He naturally, therefore, endeavours as much as he can to turn his carrying trade into a foreign trade of consumption, If his stock, again, is employed in a foreign trade of consumption, he will, for the same reason, be glad to dispose of, at home, as great a part as he can of the home goods which he collects in order to export to some foreign market, and he will thus endeavour, as much as he can, to turn his foreign trade of consumption into a home trade.",Smith,The Wealth Of Nations,314397
"The oligarchical principle prevails also in the choice of the council, for all are compelled to choose, but the compulsion extends only to the choice out of the first class, and of an equal number out of the second class and out of the third class, but not in this latter case to all the voters but to those from the third or fourth class; and the selection of candidates out of the fourth class is only compulsory on the first and second.",Aristotle,Aristotle - Complete Works,80006
"Those who think that ideas consist in images which are formed in us by contact with external bodies, persuade themselves that the ideas of those things, whereof we can form no mental picture, are not ideas, but only figments, which we invent by the free decree of our will; they thus regard ideas as though they were inanimate pictures on a panel, and, filled with this misconception, do not see that an idea, inasmuch as it is an idea, involves an affirmation or negation.",Spinoza,Ethics,107769
"How much the constitution of our bodies are concerned in this; and whether the temper of the brain makes this difference, that in some it retains the characters drawn on it like marble, in others like freestone, and in others little better than sand, I shall here inquire; though it may seem probable that the constitution of the body does sometimes influence the memory, since we oftentimes find a disease quite strip the mind of all its ideas, and the flames of a fever in a few days calcine all those images to dust and confusion, which seemed to be as lasting as if graved in marble.",Locke,Essay Concerning Human Understanding,89349
"There are many other qualities of the mind, whose merit is derived from the same origin, industry, perseverance, patience, activity, vigilance, application, constancy, with other virtues of that kind, which it will be easy to recollect, are esteemed valuable upon no other account, than their advantage in the conduct of life.",Hume,A Treatise Of Human Nature,102418
"; if, I say, thou shalt separate from thy mind, whatsoever by sympathy might adhere unto it, and all time both past and future, and shalt make thyself in all points and respects, like unto Empedocles his allegorical sphere, 'all round and circular,' andc., and shalt think of no longer life than that which is now present: then shalt thou be truly able to pass the remainder of thy days without troubles and distractions; nobly and generously disposed, and in good favour and correspondency, with that spirit which is within thee.",Marcus Aurelius,Meditations,327442
"And since this theft of the body by itself is indeed that which leaves the body to be strangely concealed by the very thing that constitutes it as diaphanousness, then the deconstitution of diaphanousness lays bare the flesh of the word, lays bare the word's sonority, intonation, intensity the shout that the articulations of language and logic have not yet entirely frozen, that is, the aspect of oppressed gesture which remains in all speech, the unique and irreplaceable movement which the generalities of concept and repetition have never finished rejecting.",Derrida,Writing And Difference,204764
"The situation, which I am indicating as typical, is not one in which capital is so abundant that the community as a whole has no reasonable use for any more, but where investment is being made in conditions which are unstable and cannot endure, because it is prompted by expectations which are destined to disappointment.",Keynes,"A General Theory Of Employment, Interest, And Money",324452
"This weakness, for a weakness it is, though the epithet may be tacked to it, a reasonable man must steel himself against; for the absurd duty, too often inculcated, of obeying a parent only on account of his being a parent, shackles the mind, and prepares it for a slavish submission to any power but reason.",Wollstonecraft,Vindication Of The Rights Of Woman,343048
"But the reason for this opinion is that while these thinkers were inquiring into the truth of that which is, they thought that which is was identical with the sensible world; in this, however, there is largely present the nature of the indeterminate of that which exists in the peculiar sense which we have explained; and, therefore, while they speak plausibly, they do not say what is true.",Aristotle,Aristotle - Complete Works,71497
"Sophia feels repulsion for her husband, she finds him 'tedious'; he cheats on her with all the surrounding peasants, she is jealous and bored; she is frustrated by her multiple pregnancies, and her children do not fill the emptiness in her heart or her days; home for her is an arid desert; for him it is hell.",Beauvoir,The Second Sex,352237
"It must, however, be noted, that when I say that it is a property of love, that the lover should wish to unite himself to the beloved object, I do not here mean by wish consent, or conclusion, or a free decision of the mind (for I have shown such, in xlviii.",Spinoza,Ethics,108539
"For sophistry is an argumentation derived from a baseless presupposition rashly accepted without critique; but we call dialectic the higher rational movement in which these, being and nothing, apparently utterly separated, pass over into each other on their own, by virtue of what they are, and the presupposition sublates itself.",Hegel,Science Of Logic,267362
"God never deceives those who consult Him with serious purpose and with their mind turned fully ward Him, although He does not always make them hear His responses; but when the mind turns from God and expends itself externally, when it consults only its body be instructed in the truth, when it listens only to its senses, imagination, and passions, which speak it constantly, then it must of necessity be deceived.",Malebranche,The Search After Truth,116680
"All of modern philosophy, in the original sense of a universal ultimately grounding science, is, according to our presentation, at least since Kant and Hume, a single struggle between two ideas of science: the idea of an objectivistic philosophy on the ground of the pregiven world and the idea of a philosophy on the ground of absolute, transcendental subjectivity the latter being something completely new and strange historically, breaking through in Berkeley, Hume, and Kant.",Husserl,The Crisis Of The European Sciences And Phenomenology,228626
"In the first case this is obvious since the word is not summoned up through the medium of any concept, and since the given stimuli or 'states of mind' call it up in accordance with the laws of neurological mechanics or those of association, and that thus the word is not the bearer of its own meaning, has no inner power, and is merely a psychic, physiological or even physical phenomenon set alongside others, and thrown up by the working of an objective causality.",Merleau-Ponty,The Phenomenology Of Perception,221492
"It is also plain that it arises most of all when both the sense is at its best and it is active in reference to an object which corresponds; when both object and perceiver are of the best there will always be pleasure, since the requisite agent and patient are both present.)",Aristotle,Aristotle - Complete Works,76587
"A human being would be a puppet, or a Vaucansonian automat built and wound up by the supreme master of all artificial devices; and although self consciousness would turn the automaton into a thinking one, yet the automaton's consciousness of its spontaneity, if regarded as freedom, would be mere delusion, because this spontaneity deserves to be called freedom only comparatively.",Kant,Critique Of Practical Reason,248540
"the companion of Peter many fine pathological, juridical, or political rules in his head, of which he can even be a thorough teacher, and yet can easily stumble in their application, either because he is lacking in natural power of judgment (though not in understanding), and to be sure understands the universal in abstracto but cannot distinguish whether a case in concreto belongs under it, or also because he has not received adequate training for this judgment through examples and actual business.",Kant,Critique Of Pure Reason,255615
"What often happens here is that a meaning arises which is apparently possible as a unity.e., can apparently be made self evidence through a possible reactivation whereas the attempt at actual reactivation can reactivate only the individual members of the combination, while the intention to unify them into a whole, instead of being fulfilled, comes to nothing; that is, This is a transformation of which one is conscious as being in itself patterned after what is passively awakened.",Husserl,The Crisis Of The European Sciences And Phenomenology,230477
"Now it is true that the faculty of all kinds of soul seems to have a connexion with a matter different from and more divine than the so called elements; but as one soul differs from another in honour and dishonour, so differs also the nature of the corresponding matter.",Aristotle,Aristotle - Complete Works,63099
"But very few know with certainty that to know the truth is to be joined to God as far as nature allows, that to contemplate the true idea of things is in a way to possess Th arch aft God Himself, and that the abstract perception of certain universal and immutable truths, which determine all particular truths, is achieved by the mind that attaches itself to God and rejects the body.",Malebranche,The Search After Truth,122988
"For Descartes was concerned to reveal thought as the most general form of all those thoughts we term error or illusion, thereby rendering them harmless, so that he would be free, once that step had been taken, to return to them, to explain them, and then to provide a method of guarding against them.",Foucault,The Order Of Things,199408
"With respect to religion, she never presumed to judge for herself; but conformed, as a dependent creature should, to the ceremonies of the church which she was brought up in, piously believing, that wiser heads than her own have settled that business: and not to doubt is her point of perfection.",Wollstonecraft,Vindication Of The Rights Of Woman,341594
"In such cases the judgements are neither theoretical nor practical (in the sense just described) since they determine nothing with regard to the character of the object or to the way in which we produce the latter; rather nature itself is thereby judged, though merely in analogy with art, and indeed in a subjective relation to our faculty of cognition rather than in an This is the place to correct an error which I committed in the Groundwork for the Metaphysics of Morals.",Kant,Critique Of Judgement,253176
"Nor are motions respectively from a contrary and from the opposite contrary contrary motions; for a motion from a contrary is at the same time a motion to a contrary or to an intermediate (of this, however, we shall speak later), but changing to a contrary rather than changing from a contrary would seem to be the cause of the contrariety of motions, the latter being the loss, the former the gain, of contrariness.",Aristotle,Aristotle - Complete Works,46460
"We should again call to mind the practical rule laid down by Leclaire, following Lacan, the rule of the right to non sense as well as to the absence of a link: you will not have reached the ultimate and irreducible terms of the unconscious so long as you find or restore a link between two elements.",Deleuze,Anti-Oedipus,217406
"As regards the number of ways in which a term is used, we must not only treat of those terms which are used in different ways, but we must also try to render their definitions; eg we must not merely say that justice and courage are called good in one way, and that what conduces to vigour and what conduces to health are called so in another, but also that the former are so called because of a certain intrinsic quality they themselves have, the latter because they are productive of a certain result and not because of any intrinsic quality in themselves.",Aristotle,Aristotle - Complete Works,42203
"Tradesmen will at once tell us that they know what is required to find the fourth number, for they have not yet forgotten the rule which was given to them arbitrarily without proof by their masters; others construct a universal axiom from their experience with simple numbers, where the fourth number is self evident, as in the case of here it is evident that if the second number be multiplied by the third, and the product divided by the first, the quotient is when they see that by this process the number is produced which they knew beforehand to be the proportional, they infer that the process always holds good for finding a fourth number proportional.",Spinoza,On The Improvement Of Understanding,110032
"In the analytical part of the critique it is proved that space and time are only forms of sensible intuition, and therefore only conditions of the existence of the things as appearances, further that we have no concepts of the understanding and hence no elements for the cognition of things except insofar as an intuition can be given corresponding to these concepts, consequently that we can have cognition of no object as a thing in itself, but only insofar as it is an objectb of sensible intuition, ie as an appearance; from which follows the limitation of all even possible speculative cognition of reason to mere objects of experience.",Kant,Critique Of Pure Reason,253792
"this reason every transition in perception to something that follows in time is a determination of time through the generation of this perception and, since that is always and in all its parts a magnitude, the gener ation of a perception as a magnitude through all degrees, of which none is the smallest, from zero to its determinate degree.",Kant,Critique Of Pure Reason,256263
"while others, by contrast, fix their minds on the thought that nature has set up no predispositions at all in this matter, and that all dif ferences rest only on external contingency, then I need only consider the constitution of the object in order to comprehend that it lies too deeply hidden for either of them to be able to speak from an insight into the nature of the object.o",Kant,Critique Of Pure Reason,259771
"Cold, on the contrary, is a source of stagnation and contraction and downward movement; but heat and all odours have an upward tendency, because they are in the air, and the organ which perceives them is above and not below; for odour penetrates to the brain and so causes perception.",Aristotle,Aristotle - Complete Works,67846
"And those fishes that have coverings have in all cases their gills placed sideways; whereas, among selachians, the broad ones have the gills down below on the belly, as the torpedo and the ray, while the lanky ones have the organ placed sideways, as is the case in all the dog fish.",Aristotle,Aristotle - Complete Works,55637
"And if, nevertheless, our honesty should one day grow weary, and sigh, and stretch its limbs, and find us too hard, and would fain have it pleasanter, easier, and gentler, like an agreeable vice, let us remain we latest Stoics, and let us send to its help whatever devilry we have in us: our disgust at the clumsy and undefined, our our love of adventure, our sharpened and fastidious curiosity, our most subtle, disguised, intellectual Will to Power and universal conquest, which rambles and roves avidiously around all the realms of the future let us go with all our devils to the help of our God",Nietzsche,Beyond Good And Evil,329952
"Such is also the case, and all the more so, for Lacan's disciples, when they take up the distinction between the Imaginary and the Symbolic, when they oppose the name of the father to the imago, and the foreclosure concerning the signifier to a real deficiency or absence of the paternal personage.",Deleuze,Anti-Oedipus,213711
"Yet this misapprehension appears to have been the cause of a great inconsistency in the doctrine of the Thomists and of other good philosophers: they recognized the immateriality or indivisibility of all souls, without being willing to admit their indestructibility, greatly to the prejudice of the immortality of the human soul.",Leibniz,Theodicy,112163
"A plant which grows upon solid rock takes a long time to grow; for the air which is enclosed in the stone strives to rise, and when it cannot find a way, owing to the resistance of the stone, it retreats back again and becomes heated, and attracts the residuum of the moisture in the stone upwards, and with this moisture a vapour comes forth accompanied by a resolution of small particles of the stone; and because the sun often acts upon the stone, it assists the moisture in the process of concoction, and as a result a plant is produced.",Aristotle,Aristotle - Complete Works,65454
"But God hath chosen the foolish things of the world to confound the wise; and God hath chosen the weak things of the world to confound the things which are mighty; And base things of the world, and things which are despised, hath God chosen, yea and things which are not, to bring to nought things that are: That no flesh should glory in his presence.",Nietzsche,The Antichrist,328290
"These actions are most serious when they affect sacred objects; and the damage is particularly grave when it is done to sacred property that also belongs to the public, or is held in common by the members of a sub division of the state, such as a tribe or some similar association.",Plato,Plato - Complete Works,34207
"Suppose we know, about anything whatsoever, that if it is Laches added to another thing, it makes that thing better, and furthermore, we are able to make the addition, then clearly we know the very thing about which we should be consulting as to how one might obtain it most easily and best.",Plato,Plato - Complete Works,14972
"The Doctrine of Being It must be admitted that it is an essential consideration one which will be found elaborated again within the logic itself that progression is a retreat to the ground, to the origin and the truth on which that with which the beginning was made, and from which it is in fact produced, depends.",Hegel,Science Of Logic,266878
I don't mean to say that you would wish to do any such thing; but just suppose that you were to think that the worst thing was the best thing that's a thought that might at any time occur to someone who is ignorant of what is really best or don't you think so?,Plato,Plato - Complete Works,13430
"But if this is inconceivable, and play is needed more amid serious occupations than at other times (for he who is hard at work has need of relaxation, and play gives relaxation, whereas occupation is always accompanied with exertion and effort), we should introduce amusements only at suitable times, and they should be our medicines, for the emotion which they create in the soul is a relaxation, and from the pleasure we obtain rest.",Aristotle,Aristotle - Complete Works,82235
"But the counterexamples get too contrived to be very persuasive: imagine a lethal Rube Goldberg machine with a randomizer at one step, a thousand year fuse at another, an alternative waiting in reserve at another, dependence on some action of the unsuspecting victim at another, and no way to discover how it works.",Lewis,Lewis - Papers,155481
"Thus (e.g.) inasmuch as it is as much a property of the faculty of reason to be the primary seat of prudence as it is of the faculty of desire to be the primary seat of temperance, and it is a property of the faculty of reason to be the primary seat of prudence, it will be a property of the faculty of desire to be the primary seat of temperance.",Aristotle,Aristotle - Complete Works,43249
"it crashing down into the valley, while the rocks all round are so firm that only a considerable force can dislodge them What is analogous in these two cases is the existence of a great store of energy in unstable equilibrium ready to burst into violent motion by the addition of a very slight disturbance.",Russell,The Analysis Of Mind,130046
"For these are pretty much the names we apply to those who are not moved to anger even when they ought, but take insults easily and are tolerant of contempt for slowness to anger is opposed to quickness, violence to quietness, long persistence in that feeling of pain which we call anger to short.",Aristotle,Aristotle - Complete Works,78827
"But there are also inductivist views to be found in Duhem's book, for example in the third chapter, Part One, where we are told that only experiment, induction, and generalization have produced Descartes's law of refraction; the English translation,.)",Descartes,The Logic Of Scientific Discovery,165890
"The Marxian journal, Zarya, which was published in Stuttgart in and advocated revolutionary proletarian views, was forced to enter into controversy with Kautsky, to characterize as 'elastic' the half hearted, evasive and conciliatory resolution on the opportunists that he proposed at the International Socialist Congress in Paris in.",Marx,Essential Works Of Lenin,306702
"The Abb de Montcrif repeats the same complaint to Lieutenant Berryer: 'for nine months now I have been locked up in a horrible hole with fifteen or twenty raving madmen, including a number of epileptics'.",Locke,History Of Madness,192684
"To limit Marxism to the theory of the class struggle means curtailing Marxism, distorting it, reducing it to something which is acceptable to the bourgeoisie.",Marx,Essential Works Of Lenin,305956
"Nor will it help us to say with St. Augustine that, all men being involved in the damnation caused by the sin of Adam, God might have left them all in their misery; and that thus his goodness alone induces him to deliver some of them.",Augustine,Theodicy,110598
"When Hegel speaks of the labor of the concept, he docs not mean the sweat of cerebral exertions by schol ars, but the self wresting by the absolute itself into the absoluteness of its self comprehending on the basis of unconditional self certainty.",Hegel,Off The Beaten Track,242669
"If he does not, and gives or receives more than fifty drachmas for the trousseau in the case of the lowest property class (or more than a hundred or a hundred and fifty or two hundred according to class),.",Rousseau,Plato - Complete Works,32349
"Aristotle, as every one knows, saw in pity a sickly and dangerous state of mind, the remedy for which was an occasional purgative: he regarded tragedy as that purgative.",Aristotle,The Antichrist,327647
"If we want to talk about synthesis, it will be, as Husserl says, a 'transition synthesis', which does not link disparate perspectives, but brings about the 'passage' from one to the other.",Husserl,The Phenomenology Of Perception,222915
"Now, in the paper, Russell introduces his famous distinction between knowledge by acquaintance and knowledge by description and says we often use definite descriptions to denote objects we know only by description and are not acquainted with.",Russell,Philosophical Troubles,179266
"According to Foucault, Descartes, encountering madness alongside (the expression alongside is Foucault's) dreams and all forms of sensory error, refuses to accord them all the same treatment, so to speak.",Descartes,Writing And Difference,200781
"One only needs to read any one of the Christian agitators St Augustine, for instance, in order to realise, in order to smell, what filthy fellows came to the top in this movement.",Augustine,Twilight Of The Idols,334588
"Therefore, since we aren't clever people, we should adopt the method of investigation that we'd use if, lacking keen eyesight, we were told to read small letters from a distance and then noticed that the same Socrates/Adeimantus letters existed elsewhere in a larger size and on a larger surface.",Socrates,Plato - Complete Works,23207
