text,philosopher,work,original_idx
"What we then have is a one sided cognition which is not supposed to contain any subject matter, an empty form void of determination which is therefore just as little an agreement.",Hegel,Science Of Logic,274796
"The effort consists above all in holding on to something non conceptual, and in combining it non conceptually.",Hegel,Science Of Logic,269812
We ought to mention next what practices exist in your two cities that give a man a taste of pleasure rather than teach him how to avoid it.,Plato,Plato - Complete Works,30205
"I have observed that these opinions, apt to do harm, rested especially on confused notions which had been formed concerning freedom, necessity and destiny; and I have taken up my pen more than once on such an occasion to give explanations on these important matters.",Leibniz,Theodicy,110927
"Instead of everything being projected onto a grotesque hiatus of castration, everything was scattered in the thousand breaks flows of the chieftainships, the lineages, the relations of colonization.",Deleuze,Anti-Oedipus,215808
"But it is all the more in the absolutely fluid continuity of the concept that the not is immediately a positive, and the negation is not just determinateness but is taken up into universality and is posited as identical with it.",Hegel,Science Of Logic,275390
"Such a principle would, of course, permit a much simpler ontological argument than ours: apply it to the description Divine being existing in every world.",Lewis,Lewis - Papers,146207
"In the Republic of Plato, Socrates treats of revolutions, but not well, for he mentions no cause of change which peculiarly affects the first or perfect state.",Aristotle,Aristotle - Complete Works,81987
"This (non) being which corresponds to the form of a problematic field, even though the modalities of proposition tend to assimilate it to negative non being, reappears with the so called expletive 'Ne' which grammarians have so much difficulty in interpreting: like the witness of an extra propositional grammatical instance, an expletive 'Ne' always appears in propositions where there is a question developed into a problem.",Deleuze,Difference And Repetition,210553
"For whereas neither the physicist nor the chemist are the objects of their own investigation, the psychologist was himself, in the nature of the case, the fact which exercised him.",Merleau-Ponty,The Phenomenology Of Perception,220895
come to men by nature but are acquired or do you think either of these comes by nature?.,Plato,Plato - Complete Works,20660
"Our foregoing method of reasoning will easily convince us, that there can be no demonstrative arguments to prove, that those instances, of which we have, had no experience, resemble those, of which we have had experience.",Hume,A Treatise Of Human Nature,97053
"In fact this was the last of the great measures taken since the Renaissance to put an end to unemploy ment, or at least to begging.",Foucault,History Of Madness,188885
A strong wind blows between the trees and in all directions fall the fruit the truths.,Nietzsche,Ecce Homo,332933
"As a result, we can sometimes judge through sight the approximate relation bodies have to our own as well as among themselves; but we must never believe that they have the size they seem to us to have.",Malebranche,The Search After Truth,117787
"He who dissuades, by pursuing the opposite course, must exert a hindering influence, showing that the proposed action is neither just nor lawful nor expedient nor honourable nor pleasant nor practicable; if he cannot do that, he must urge that it is toilsome and unnecessary.",Aristotle,Aristotle - Complete Works,85776
How else could they convince the government to accept the signatures of voteless women if not by aggressively disputing the validity of their traditional exile from political activity?.,Davis,"Women, Race, And Class",358219
"The discovery of bronze enabled man, tested by hard and productive work, to find himself as creator,dominating nature; no longer afraid of nature, having overcome resistance, he dares to grasp himself as autonomous activity and to accomplish himself in his singularity.",Beauvoir,The Second Sex,345668
"It never ceases to be generatio univoca in the widest acceptation of the word, as it only implies the generation of something organic from something else that is also organic, although, within the class of organic beings, differing specifically from it.",Kant,Critique Of Judgement,253124
And he will look into the manner of his words and actions to see if what he says is truly spoken and what he does is correctly done?' 'Necessarily. ' '.,Plato,Plato - Complete Works,14757
"a of reason, and consequently cannot be derived from any where else by the student, nor disputed in any way, precisely because reason is here used in concreto though nevertheless a priori, founded, that is, in pure and therefore error free intuition, and excludes all deception and error.",Kant,Critique Of Pure Reason,261790
"On the basis of capitalist production, however, this necessary labour can form a part only of the working day; the working day itself can never be reduced to this minimum.",Marx,Capital,293567
And is it not the separation of the real act and the ideal content thoroughly illegitimate with regard to the actual judging of what is judged?.,Heidegger,Being And Time,236779
"When the mind finds itself forced to admit differences between bodies by the different sensations it has of them, and for other reasons as well, it always does so to the least extent that it can.",Malebranche,The Search After Truth,121647
"Possessing an undeniable charisma and powerful oratorical abilities, Sojourner Truth tore down the claims that female weakness was incompatible with suffrage.",Davis,"Women, Race, And Class",358454
"On the contrary, its action rests on secure confidence in the whole, unmixed with any alien element, neither with fear nor hostility.",Hegel,The Phenomenology Of Spirit,281927
It is art if it only illustrates this by examples; it is science if it deduces the possibility of such judging from the nature of these faculties as faculties of knowledge in general.,Kant,Critique Of Judgement,251542
"Now the he travels in a direction away from the forepart of the head, and the ears are situated in the opposite part of the head, and therefore they redden most under the emotion of shame.",Aristotle,Aristotle - Complete Works,70117
"The Committee itself formulated more or less na vely its conviction that Free trade meant essentially trade with adulterated, or as the English ingeniously put it, sophisticated goods.",Marx,Capital,293813
This is true not only of all the primitive methodical forms of former times but also of the most highly developed forms that have appeared since the second half of the nineteenth century.,Husserl,The Crisis Of The European Sciences And Phenomenology,229612
"When I came to Sicily my reputation was high among philosophers, and I came to Syracuse to make you my witness, so that philosophy might gain favor with the multitude.",Plato,Plato - Complete Works,36260
"It Jacks the power to externalize itself, the power to make itself into a Thing, and. ).",Hegel,The Phenomenology Of Spirit,283723
"However this may be, it is certain that we form the idea of individuals, whenever we use any general term; that we seldom or never can exhaust these individuals; and that those, which remain, are only represented by means of that habit, by which we recall them, whenever any present occasion requires it.",Hume,A Treatise Of Human Nature,96317
"For even if it were true that it comes from all the body, as they say, they ought not to claim that it comes from all parts of it, but only from the creative part from the workman, so to say, not the material he works in.",Aristotle,Aristotle - Complete Works,63042
"First, look and see if its contrary is used in many ways, whether the discrepancy between them be one of kind or one of names.",Aristotle,Aristotle - Complete Works,42524
"Thus with markets organised and influenced as they are at present, the market estimation of the marginal efficiency of capital may suffer such enormously wide fluctuations that it cannot be sufficiently offset by corresponding fluctuations in the rate of interest.",Keynes,"A General Theory Of Employment, Interest, And Money",325486
"If I understand Geach correctly, his nominal essence should be understood in terms of a prioricity, not necessity, and thus is quite different from the kind of essence advocated here.",Kripke,Naming And Necessity,173035
"But while you were able to make the sons of Inycans better, you were powerless for the sons of Spartans?.",Plato,Plato - Complete Works,20765
"The relative form and the equivalent form are two intimately connected, mutually dependent and inseparable elements of the expression of value; but, at the same time, are mutually exclusive, antagonistic extremes. e. , poles of the same expression.",Marx,Capital,290162
"Thus, to accommodate this attitude, I have tried to make these remarks intelligible even to those who have forgotten the passages in The Search after to which they are related.",Malebranche,The Search After Truth,126351
"So the name giver didn't contradict himself, and 'deon' ('obligation') is plainly the same as 'ōphelimon' ('beneficial'), 'lusiteloun' ('profitable'), 'kerdaleon' ('gainful'), 'agathon' ('good'), 'sumpheron' ('advantageous'), and 'euporon' ('lack of perplexity'), which are different names signifying what orders and moves.",Plato,Plato - Complete Works,3012
"The real taille, as it is imposed only upon a part of the lands of the country, is necessarily an unequal, but it is not always an arbitrary tax, though it is so upon some occasions.",Smith,The Wealth Of Nations,318254
"In each case we are in the realm of abstraction, because we remain torn between the in itself and the for itself.",Merleau-Ponty,The Phenomenology Of Perception,226586
"For the thing is itself an end, and is, therefore, grasped under a concept or an idea that must determine a priori all that is to be contained in it.",Kant,Critique Of Judgement,252511
Voluptuousness: the great symbolic happiness of a higher happiness and highest hope.,Nietzsche,Thus Spake Zarathustra,339739
"The difference between them is thus posited at first as sublated, hence as quantitative for this reason, therefore, not as a self repelling; and the indifference not as self determining, but as having and becoming the determinate being that it has only externally.",Hegel,Science Of Logic,271786
": first, the woman should dream that she is with a man and her emissions should come easily, as if she were actually having intercourse and the more often this happens the better; and when she wakes up she should sometimes need the treatment she requires when she has actually had intercourse with a man, and sometimes be dry.",Aristotle,Aristotle - Complete Works,59960
"This way of representing the matter expresses its true nature, provided that the continuity of the quantum is not understood to mean the continuity which it has in the infinite progress where the quantum continues in its vanishing, in such a way that in its beyond only a finite quantum arises again, a fresh term of the series: but the picture we have of a continuous progress is always just that, of values traversed which are still finite quanta.",Hegel,Science Of Logic,270350
"Herr Otto Sperling, who is well known for various learned writings, but has many more in readiness to appear, in a special dissertation has treated the question of this Teutates, God of the Celts.",Leibniz,Theodicy,113216
"the instruments of sensation are the blood containing parts, and the cavity in the posterior part of the skull is destitute of blood vessels.",Aristotle,Aristotle - Complete Works,60767
The limit between violence and nonviolence is perhaps not between speech and writing but within each of them.,Derrida,Writing And Difference,202658
"Finally, this is clear from an infmity of things I have said elsewhere, and those to whom I am speaking agree with it.",Malebranche,The Search After Truth,126369
"Though Britain were entirely excluded from the Portugal trade, it could find very little difficulty in procuring all the annual supplies of gold which it wants, either for the purposes of plate, or of coin, or of foreign trade.",Smith,The Wealth Of Nations,314424
Thus they can offer more or less resistence to the sunounding vonexes as their motion changes.,Malebranche,The Search After Truth,129496
Some writers propose to reach the ultimate forms of animal life by dividing the genus into two differences.,Aristotle,Aristotle - Complete Works,60242
"He showed that there was a relation of 'fraternity' between Sanskrit, Latin, Greek, and the Germanic languages, Sanskrit being, not the mother language of the others, but rather their elder sister, the nearest of them to a language which had apparently been the source of this entire family.",Foucault,The Order Of Things,199784
"If the terms are not convertible, one of the propositions from which the deduction results must be undemonstrated; for it is not possible to demonstrate through these terms that the third belongs to the middle or the middle to the first.",Aristotle,Aristotle - Complete Works,40600
"Essentially, however, the being for itself of the one is the ideality of the existence and of the other; it does not refer to an other but only to itself.",Hegel,Science Of Logic,269131
"The body without organs is not the proof of an original nothingness, nor is it what remains of a lost totality.",Deleuze,Anti-Oedipus,212931
"In each of these phases the same material elements a commodity, and money, and the same economic dramatis personae, a buyer and a seller confront one another.",Marx,Capital,292006
Sound is a movement of what can rebound from a smooth surface when struck against it.,Aristotle,Aristotle - Complete Works,53287
"But as regards its content, thattoo is a determinate content, in so far as the general good is opposed to the good of the individual.",Hegel,The Phenomenology Of Spirit,283613
It is enough to defend the truth and gain the approval of those who earnestly labor to free themselves from the errors of their senses and to make good use of their mind's lights.,Malebranche,The Search After Truth,118694
"It seems, therefore, that the difference between Hegel and Leibniz is a matter of two ways of going beyond the organic.",Deleuze,Difference And Repetition,207579
"If the steel is struck in a vacuum, a particle of the imn or steel is broken off by the force ofthe blow.",Malebranche,The Search After Truth,129159
"For the virtuous consciousness law is the essential moment, andindividualitytheone to be nullified, and therefore both in its oWn consciousness as well asin.",Hegel,The Phenomenology Of Spirit,281168
"But still I can't see clearly the thing I was in doubt about then, namely, which type we should put the sophist in.",Plato,Plato - Complete Works,5799
"They who are soonest in a condition to enjoy the sweets of it, are likely soonest to conceive a relish for it, and to acquire the early habit of industry.",Smith,The Wealth Of Nations,309479
"It is natural for flesh and sinews to be formed from blood, the sinew from the fiber (which is of its own kind) and the flesh from the part of the blood that congeals when the sinew is separated from it.",Plato,Plato - Complete Works,29202
"Thus, in general the acquisition of our basic logical hab its is to be accounted for in our acquisition of grammatical constructions.",Quine,Quintessence,164547
"So habits, customs, will, calculation, right opinion, diligence and memory will be prior creations to material length, breadth, depth and strength, if (as is true).",Plato,Plato - Complete Works,34735
Hence it is referred through the imagination either to the faculty of cognition or to that of desire; but to whichever faculty the reference is made the finality of the given representation is judged only in respect of these faculties (apart from end or interest).,Kant,Critique Of Judgement,251122
"In the first case, there is an exact superimposition of attribution and articulation, designation and derivation; in the second, a transition linked to the nature of things and to human activity.",Foucault,The Order Of Things,198828
"Taking serious issue with Stekel in Frigidity in Woman, he declares, 'The normal and fertile woman does not have a genital orgasm.",Beauvoir,The Second Sex,353679
"Now feelings are anger, fear, hate, regret, emulation, pity, and the like, which are usually attended by pain or pleasure.",Aristotle,Aristotle - Complete Works,77351
The immediate syllogism of existence has thereby passed over into the syllogism of reflection.,Hegel,Science Of Logic,275969
"This, I think, may confidently be affirmed, That there universal propositions, which, though they be certainly true, yet they add no light to our understanding; bring no increase to our knowledge.",Locke,Essay Concerning Human Understanding,94960
"For if there be a great many other truths, which have as much self evidence as they, and a great many that we know before them, it is impossible they should be the principles from which we deduce all other truths.",Locke,Essay Concerning Human Understanding,94807
"Once the distinctions had been made, and the first punishments applied, the venereal were accepted into the hospital.",Foucault,History Of Madness,189194
Both assertions seem false; it seems clearly possible that should have existed without the corresponding brain state; or that the brain state should have existed without being felt as pain.,Kripke,Philosophical Troubles,174289
"In addition, the scholar ought to contribute to the progress of this mind of the community, either by correcting the same, which is also a way of expanding cognition (for a person who is rid of an error also gains knowledge), or by drawing new inferences from what is already known.",Fichte,The System Of Ethics,266980
"If it were taken seriously, its advocates ought to profess that any one truth is logically inferable from any other, and that, for example, the fact that Caesar conquered Gaul, if adequately considered, would enable us to discover what the weather will be to morrow.",Russell,The Analysis Of Mind,133080
"If such hybrid connexions be continued without intermittence, the female will soon go sterile; and for this reason trainers always allow of intervals between breeding times.",Aristotle,Aristotle - Complete Works,58237
"These ideas of modifications, in so far as they are referred to the human mind alone, are as consequences without premisses, in other words, confused ideas.",Spinoza,Ethics,107933
"No, there must be both good qualities together, as in 'it is fitting to die when you are not fit for death'.",Aristotle,Aristotle - Complete Works,85386
"These indifferent signs follow no plan, they function at all levels and enter into any and every sort of connection; each one speaks its own language, and establishes syntheses with others that are quite direct along transverse vectors, whereas the vectors between the basic elements that constitute them are quite indirect.",Deleuze,Anti-Oedipus,213504
"The better to understand this point, we must take into account that there are two great principles of our arguments.",Leibniz,Theodicy,112267
"And since the beginning always proceeds by twos this is even the necessary condition for rendering escape impossible a first pre oedipal beginning is invoked, the primitive nondifferentiation of the most precocious stages of the personality in the relationship with the mother; then a second beginning is invoked; Oedipus itself with the law of the father and the exclusive differentiations that this law prescribes at the heart of the family; and finally latency, the celebrated latency, after which the beyond begins.",Deleuze,Anti-Oedipus,214570
"The methods of testing are invariably based on deductive inferences from the higher to the lower level; on the other hand, the levels of universality are reached, in the order of time, by proceeding from lower to higher levels.",Popper,The Logic Of Scientific Discovery,170900
The steps by which the child was seen to progress from observational language to rel ative clauses and categoricals and quantification had the arbitrary char acter of historical accident and cultural heritage; there was no hint of in evitability.,Quine,Quintessence,164570
Recall the Karttunen and Peters algorithm for the presupposition of conditionals.,Kripke,Philosophical Troubles,183056
"What the Gospels abolished was the Judaism in the concepts of sin, forgiveness of sin, faith, salvation through faith.",Nietzsche,The Antichrist,329119
"In it madness, which the Renaissance had managed simultaneously to experience as non wisdom, disorder of the world, eschatological threat and illness, found its equilibrium, and a unity that would lay it open to the perhaps illusory grip of positivist thought.",Foucault,History Of Madness,189504
"But the necessity of besides accuracy of response may be brought out by the following consideration: Suppose two persons, of whom one believed whatever the other disbelieved, and disbelieved whatever the other believed.",Russell,The Analysis Of Mind,132991
She will often be afraid of missing her destiny as a woman if she gives herself over entirely to any undertaking.,Beauvoir,The Second Sex,351227
"For from this we judge that it is our soul that preserves life in the body, and that generally produces in it all the impulses that tend toward the preservation of life.",Malebranche,The Search After Truth,123202
"Univocal being becomes identical with unique, universal and infinite substance: it is proposed as Deus sive Natura.",Deleuze,Difference And Repetition,207479
"I suppose that the gifted author of this extract, when he thought the difficulty could be solved, had in mind something akin to my principles on this matter.",Leibniz,Theodicy,115319
those who tend your health should also receive a salary sufficient to feed themselves and to succour you.,Foucault,The Birth Of The Clinic,185815
"If he's not able to, surely you're not making a fair request in asking him to do what he's not able to do; and if he is able to, how did you fail to persuade such a man?.",Plato,Plato - Complete Works,37619
"The late war was altogether a colony quarrel; and the whole expense of it, in whatever part of the world it might have been laid out,.",Smith,The Wealth Of Nations,315271
"of his Reflexions on the System of Malebranche from Thomas Aquinas, on the antecedent and consequent will of God).",Leibniz,Theodicy,113420
"But, according to the explanation just given, all is quite clear regarding those also.",Aristotle,Aristotle - Complete Works,54394
"In so saying we are only following the same line of thought as those who say that the stars are fiery because they believe the upper body to be fire, the presumption being that a thing is composed of the same stuff as that in which it is situated.",Aristotle,Aristotle - Complete Works,48699
"First, the syllogism does not deal with intuitions, in order to bring them under rules (as does the understanding with its categories), but rather deals with concepts and judgments.",Kant,Critique Of Pure Reason,258059
"And while he was saying this, he was holding the cup, and then drained it calmly and easily.",Plato,Plato - Complete Works,2129
"and it is by alone, that I can what other qualities co exist with those of my complex idea,. g.",Locke,Essay Concerning Human Understanding,95344
The wax is from the start a fragment of extension both pliable and alterable; I simply realize this clearly or confusedly 'according as my attention is applied more or less to the things which are in it and of which it is composed'.,Merleau-Ponty,The Phenomenology Of Perception,219851
"Upon the whole matter, I think that our ideas, as they are considered by the mind, either in reference to the proper signification of their names; or in reference to the reality of things, may very fitly be called or ideas, according as they agree or disagree to those patterns to which they are referred.",Locke,Essay Concerning Human Understanding,92409
The Church made it a sacrament and yet prohibited it for the Christian elite: this is the source of the contradiction of the querelle des femmes.,Beauvoir,The Second Sex,346443
"a crop, large and spherical, like that of a bird; then comes the stomach, like the fourth stomach in ruminants; and the shape of it resembles the spiral convolution in the trumpet shell; from the stomach there goes back again, in the direction of the mouth, a thin gut, and the gut is thicker than the oesophagus.",Aristotle,Aristotle - Complete Works,56603
"This slowness and aversion in the people to quit their old constitutions, has, in the many revolutions which have been seen in this kingdom, in this and former ages, still kept us to, or, after some interval of fruitless attempts, still brought us back again to our old legislative of king, lords and commons: and whatever provocations have made the crown be taken from some of our princes heads, they never carried the people so far as to place it in another line.",Locke,Second Treatise On Government,88136
"Insanity in individuals is something rare but in groups, parties, nations, and epochs.",Nietzsche,Beyond Good And Evil,330533
"But the numbers that thus Real measure arise also stand to the others that either precede or follow them in some specific relation, whether as a multiple of one of them expressed in the form of a whole number, or as a power or root.",Hegel,Science Of Logic,271681
"The conclusion, 'therefore is,' expresses the same contradiction that exists immediately but at the same time through an other or as mediated.",Hegel,Science Of Logic,276199
"Cowell, member of the Factory Commission of after careful investigation of the spinning trade, came to the conclusion that in England wages are virtually lower to the capitalist, though higher to the operative than on the Continent of Europe.",Marx,Capital,299246
"Rather, this use of reason is only regulative, bringing unity into particular cognitions as far as possible and thereby approximating the rule to universality.",Kant,Critique Of Pure Reason,260509
"One' has all these meanings, and each of those things to which one of these kinds of unity belongs will be one; but 'to be one' will sometimes mean being one of these things, and sometimes something else, which is even nearer to the word 'one', while these other things approximate to its force.",Aristotle,Aristotle - Complete Works,73192
", do you think there's any legislator so stupid as not to realize that his code has many inevitable deficiencies which must be put right by a successor, if the state he's founded is to enjoy a continuous improvement in its administrative arrangements, rather than suffer a decline?.",Plato,Plato - Complete Works,32540
"And, indeed, if a man suspected the physician of being in league with his enemies to destroy him for a bribe, he would rather have recourse to the book.",Aristotle,Aristotle - Complete Works,81095
"All the particular acts of reflection that are demanded here are therefore also absolute starting points of a completely new series, and one cannot say where these acts of reflection come from, since they do not come from anywhere at all.",Fichte,The System Of Ethics,264521
"When I listen to such things, I lose all patience, and I feel inclined, I even feel it my duty, to tell the Germans, for once in a way, all that they have on their conscience.",Nietzsche,Ecce Homo,332986
but because they had renewed their allegiance to the great ethical pact that underpinned human existence.,Foucault,History Of Madness,189050
"and it is this rendering also, and the increased receptivity, founded upon it, for the feeling which these ideas evoke (termed moral sense), that are the origin of that pleasure which taste declares valid for mankind in general and not merely for the private feeling of each individual.",Kant,Critique Of Judgement,252339
"Since it is permitted here to imagine possible cases, may one not suppose this incomparable man to be the Adept or the Possessor of 'that blessed Stone.",Leibniz,Theodicy,111486
"Because the mind, in such a reference, makes a tacit supposition of their conformity to that thing; which supposition, as it happens to be true or false, so the ideas themselves come to be denominated.",Locke,Essay Concerning Human Understanding,92304
"Thus it is possible for there to be several explanations of the same thing, but not for things of the same species eg the explanation of longevity for quadrupeds.",Aristotle,Aristotle - Complete Works,42325
"It contracts and expands without constraint, and so is able to pull and to thrust from one and the same cause, exhibiting weight compared with the fiery element, and lightness by comparison with the opposites of fire.",Aristotle,Aristotle - Complete Works,62477
"and 'clear up' the situation she only found herself more deeply involved in it; to be with her filled her with a delight that she had never experienced before she was troubled by a profound sin consciousness, and was anxious to discover whether there was a 'scientific explanation' of her state and any moral justification for it.",Beauvoir,The Second Sex,355505
"Then it was heat that checked the humidifying properties of water, whereas cool maintained them and renewed them ceaselessly.",Foucault,History Of Madness,192339
The probable explanation is that in man the organ of smell has a certain superiority over that in all other animals just as his eyes have over those of hard eyed animals.,Aristotle,Aristotle - Complete Works,53339
"agents which have not the same matter as their patients, act without themselves suffering action.",Aristotle,Aristotle - Complete Works,50198
"And if prudence is a property of knowledge of the noble, it will not be a property of knowledge of the base.",Aristotle,Aristotle - Complete Works,43529
"Even if all aphasia, when closely observed, is seen to involve disturbances of Cf.",Merleau-Ponty,The Phenomenology Of Perception,221394
"We have now perceived, that all the explanations commonly given of nature are mere modes of imagining, and do not indicate the true nature of anything, but only the constitution of the imagination; and, although they have names, as though they were entities, existing externally to the imagination, I call them entities imaginary rather than real; and, therefore, all arguments against us drawn from such abstractions are easily rebutted.",Spinoza,Ethics,107591
"But this seems an impossibility; it is difficult even to imagine what sort of bodily part thought will hold together, or how it will do this.",Aristotle,Aristotle - Complete Works,52983
"Descartes knew very well that to support his system, the truth of which he perhaps could not doubt, it was absolutely necessary that large bodies always communicate some of their motion to the small ones they encountered, and that the small ones rebound upon colliding with larger ones, with no similar loss of their own.",Malebranche,The Search After Truth,126181
"One could say that the sole logical constant was what all propositions, by their very nature, had in common with one another.",Wittgenstein,Tractatus Logico-Philosophicus,145357
"A faith of this sort does not show anger, it does not blame, neither does it defend itself: it does not bring the sword, it has no inkling of how it will one day establish feuds between man and man.",Nietzsche,Twilight Of The Idols,335075
"The people alone can appoint the form of the commonwealth, which is by constituting the legislative, and appointing in whose hands that shall be.",Locke,Second Treatise On Government,87791
"If no more labour be required to bring cloth and gold to market, they will not vary in relative value, but if more labour be required to bring corn and shoes to market, will not corn and shoes rise in value relatively to cloth, and money made of gold?.",Ricardo,On The Principles Of Political Economy And Taxation,321947
"As capitals increase in any country, the profits which can be made by employing them necessarily diminish.",Smith,The Wealth Of Nations,312104
"I have found that one may account for these laws by assuming that the effect is always equal in force to its cause, or, which amounts to the same thing, that the same force is conserved always: but this axiom of higher philosophy cannot be demonstrated geometrically.",Leibniz,Theodicy,115199
"All sanguineous animals, then, have skin; but not all such animals have hair, save only under the circumstances described above.",Aristotle,Aristotle - Complete Works,56389
"In that self, faith has the moment that makes it complete; but perishing through being thus completed, it is in pure insight that we now see the two moments:.",Hegel,The Phenomenology Of Spirit,283040
"This occurs when one has a view to the univocity of linguistic expression and to securing, by means of the most painstaking formation of the relevant words, propositions, and complexes of propositions, the results which are to be univocally expressed.",Husserl,The Crisis Of The European Sciences And Phenomenology,231271
"The true student of politics, too, is thought to have studied this above all things; for he wishes to make his fellow citizens good and obedient to the laws.",Aristotle,Aristotle - Complete Works,74887
Those who are in the least acquainted with the actual state of our movement cannot but see that the spread of Marxism was accompanied by a certain lowering of theoretical standards.,Lenin,Essential Works Of Lenin,304046
"This was not a mistake on our part, since, in accordance with the laws governing any systematic presentation, this is how we had to proceed.",Fichte,The System Of Ethics,262967
"That which blows from it, therefore, is not cold, because it is not itself cold, nor does it cool quickly, because it is not very hot.",Aristotle,Aristotle - Complete Works,69173
"For although such art is capable of being at times directed to ends intrinsically legitimate and praiseworthy, still it becomes reprehensible on account of the subjective injury done in this way to maxims and dispositions, even where objectively the action may be lawful.",Kant,Critique Of Judgement,252016
"As the one mode of expense is more favourable than the other to the opulence of an individual, so is it likewise to that of a nation.",Smith,The Wealth Of Nations,312035
Why is it that in Magnesia the hot waters ceased to be hot but the water remained salty?.,Aristotle,Aristotle - Complete Works,69350
Suppose you have your heart set on driving one of your father's chariots and holding the reins in a race.,Plato,Plato - Complete Works,15512
"For the more sedulous her service herein, the fuller will be his gratitude when he is restored, and freed from his sickness; and if she has failed to obey him when he commanded aught that is amiss, the deeper will be his recognition when health returns.",Aristotle,Aristotle - Complete Works,83077
"If a line is drawn on paper and another is drawn at its end perpendicular and equal to it, they will appear roughly equal.",Malebranche,The Search After Truth,117793
In all sanguineous animals the case stands as here set forth in regard to the points of departure and the chief veins.,Aristotle,Aristotle - Complete Works,56286
"It is the sign that enables things to become distinct, to preserve themselves within their own identities, to dissociate themselves or bind themselves together.",Foucault,The Order Of Things,196954
", will say, I have never seen such a one, but almost fancy I have; so often have I heard talk of him.",Hume,A Treatise Of Human Nature,97368
"Itis atthe same time not merely the content ofself consciousness, and not merely objectfor it, but it is ,also actual Spirit.",Hegel,The Phenomenology Of Spirit,284792
"I am accustomed to hear such a sound, and see such an object in motion at the same time.",Hume,A Treatise Of Human Nature,98248
"They contract as free agents, and the agreement they come to, is but the form in which they give legal expression to their common will.",Marx,Capital,292514
"For while it is true that what is self identical and undivided may be both contraries at once potentially, it cannot be self identical in its being.",Aristotle,Aristotle - Complete Works,53502
"Father Spee was of a noble family of Westphalia (it may be said in passing) and he died in the odour of sanctity, according to the testimony of him who published this book in Cologne with the approval of the Superiors.",Leibniz,Theodicy,112652
"In Jeans's text, a new paragraph begins with the second sentence, ie with the words, 'Yet the content'.",Popper,The Logic Of Scientific Discovery,170108
"that is, the court is to decide what it thinks is the appropriate penalty or fine for him to pay.",Plato,Plato - Complete Works,35271
These changes of language I have pointed out in the course of the following pages; but the general relationship between the two books can be expressed briefly as follows.,Keynes,"A General Theory Of Employment, Interest, And Money",322717
"Therefore, the final result of every separate circuit, in which a purchase and consequent sale are completed, forms of itself the starting point of a new circuit.",Marx,Capital,292075
"For I presupposed a sharp contrast between epistemic and metaphysical possibility: Before appropriate empirical discoveries were made, men might well have failed to know that Hesperus was Phosphorus, or even to believe it, even though they of course knew and believed that Hesperus was Hesperus.",Kripke,Philosophical Troubles,177062
"Moreover, neither unity nor zero can be engendered on the basis of a multiplicity of positive acts, facts, or psychic events.",Derrida,Writing And Difference,203856
"That case may puzzle us because it involves at least an appearance of redundancy, and also because it involves causation by omission.",Lewis,Lewis - Papers,156317
"But not because Oedipus might be a truth of the unconscious that is especially visible where we are concerned; on the contrary, because it is a mystification of the unconscious that has only succeeded with us by assembling the parts and wheels of its apparatus from elements of the previous social formations.",Deleuze,Anti-Oedipus,215940
"The difference is that in a bellows it is not by the same channel that the air is taken in and let out, but in breathing it is.",Aristotle,Aristotle - Complete Works,54955
In answering this problem it makes all the difference whether we mean by 'the food' the 'finished' or the 'raw' product.,Aristotle,Aristotle - Complete Works,53138
"The beggars are coming to town requires for its acceptability, and perhaps even for its truth, that the point of reference be in town.",Lewis,Lewis - Papers,151464
"In later life, they think they're doing well if they are willing to be in an invited audience when others are doing philosophy, for they think they should do this only as a sideline.",Plato,Plato - Complete Works,25744
"In the end, idle talk is indignant that what it guessed and constantly demanded now actually happens.",Heidegger,Being And Time,235968
"So, in answer to the question we were asking ourselves just now, it's clear that there is one sort of expert knowledge concerned with all these things; whether someone gives this the name of expertise in kingship, or statesmanship, or household management, let's not pick any quarrel with him.",Plato,Plato - Complete Works,6658
"In short, sexual repression, more insistent than ever, will survive all the publications, demonstrations, emancipations, and protests concerning the liberty of sexual objects, sources, and aims, as long as sexuality is kept consciously or not within narcissistic, Oedipal, and castrating co ordinates that are enough to ensure the triumph of the most rigorous censors, the gray gentlemen mentioned by Lawrence.",Deleuze,Anti-Oedipus,218770
It is tempting to explain this by saying that the stronger theory has fewer realizations.,Lewis,Lewis - Papers,147888
"But if I cancel the subject together with the pred icate, then no contradiction arises; for there is no longer anything that could be contradicted.",Kant,Critique Of Pure Reason,260140
"These were the men who fought in the naval battle at Eurymedon, those who made the expedition to Cyprus, and those who sailed to Egypt and many other places.",Plato,Plato - Complete Works,22234
(This is another reason with all these animals for their testes being internal besides those previously mentioned as arising necessarily from the details of copulation. ).,Aristotle,Aristotle - Complete Works,62910
And the new serpent of wisdom raised on high for adoration has in this way painlessly cast merely a withered skin.,Hegel,The Phenomenology Of Spirit,282696
"But just picture to yourselves some eminently virtuous men forced for a time to go in for inn keeping or retailing or some similar occupation, or some eminently virtuous women similarly forced by some stroke of fate to take up that kind of life.",Plato,Plato - Complete Works,35065
"And yet, in accordance with a usage that has long been customary, the being we have just used means at the same time the beings themselves that arc in this mode.",Heidegger,Off The Beaten Track,243623
"For at first, before its complete exposition, the form is only internally or, which is the same, only externally; it is at first determinate form in general or negation in general.",Hegel,Science Of Logic,273943
